State,Jurisdiction,Population,Scraped?
TX,Lamb ,6662,TRUE
TX,La Salle ,5250,TRUE
TX,Live Oak ,7323,TRUE
TX,Lynn ,3952,TRUE
TX,Martin ,3643,TRUE
TX,Maverick ,56460,TRUE
TX,Medina ,18733,TRUE
TX,Menard ,220,TRUE
TX,Moore ,18463,TRUE
TX,Nueces ,304184,TRUE
TX,Ochiltree ,9386,TRUE
TX,Parmer ,4704,TRUE
TX,Pecos ,12960,TRUE
TX,Presidio ,2814,TRUE
TX,Reagan ,3308,TRUE
TX,Reeves ,702,TRUE
TX,San Patricio ,22835,TRUE
TX,Schleicher ,890,TRUE
TX,Sherman ,1293,TRUE
TX,Starr ,34894,TRUE
TX,Sterling ,1392,TRUE
TX,Sutton ,3261,TRUE
TX,Tarrant ,944968,TRUE
TX,Terrell ,122,TRUE
TX,Terry ,10764,TRUE
TX,Titus ,21460,TRUE
TX,Travis ,905757,TRUE
TX,Uvalde ,2256,TRUE
TX,Val Verde ,46962,TRUE
TX,Ward ,498,TRUE
TX,Webb ,145899,TRUE
TX,Willacy ,12853,TRUE
TX,Winkler ,6561,TRUE
TX,Yoakum ,5995,TRUE
TX,Zapata ,811,TRUE
TX,Zavala ,7415,TRUE
UT,Salt Lake ,100474,TRUE
VA,Fairfax ,130140,TRUE
VA,Prince William ,75776,TRUE
VA,Manassas ,"42,772",TRUE
VA,Manassas Park ,"17,219",TRUE
WA,Adams ,16166,TRUE
WA,Franklin ,61790,TRUE
WA,King ,1132351,TRUE
WA,Yakima ,54097,TRUE
WI,Abbotsford ,"2,275",TRUE
WI,Arcadia ,"3,737",TRUE
WI,Curtiss ,216,TRUE
WI,Milwaukee ,"577,222",TRUE
WI,Sharon ,"1,586",TRUE
WI,West Milwaukee ,"4,114",TRUE
