Government Level,Domain,State,county,city
City,miamigardens-fl.gov,FL,Miami-Dade,Miami Gardens 
City,middleboroughma.gov,MA,Plymouth,Middleborough
City,middletownct.gov,CT,Middlesex,Middletown
City,milfordma.gov,MA,Worcester,Milford
City,millvillenj.gov,NJ,Cumberland,Millville
City,mtpleasantwi.gov,WI,Racine,Mt Pleasant 
City,narragansettri.gov,RI,Washington,Narragansett
City,natickma.gov,MA,Middlesex,Natick
City,needhamma.gov,MA,Norfolk,Needham
City,newberlinwi.gov,WI,Waukesha,New Berlin
City,newbritainct.gov,CT,Hartford,New Britain 
City,newhartfordct.gov,CT,Litchfield,New Hartford
City,newhavenct.gov,CT,New Haven,New Haven 
City,newingtonct.gov,CT,Hartford,Newington
City,newlondonct.gov,CT,New London,New London 
City,newtonma.gov,MA,Middlesex,Newton
City,northamptonma.gov,MA,Hampshire,Northhampton
City,northandoverma.gov,MA,Essex,North Andover
City,northprovidenceri.gov,RI,Providence,North Providence
City,norwalkct.gov,CT,Fairfield,Norwalk 
City,nyc.gov,NY,New York,New York
City,oakcreekwi.gov,WI,Milwaukee,Oak Creek
City,oconomowoc-wi.gov,WI,Waukesha,Oconomowoc 
City,odessa-tx.gov,TX,Ector,Odessa 
City,on.nyc.gov,NY,New York,New York
City,orlando.gov,FL,Orange,Orlando
City,oxnard.gov,CA,Venture,Oxnard
City,palmettobay-fl.gov,FL,Miami-Dade,Palmetto Bay
City,pasco-wa.gov,WA,Franklin,Pasco 
City,patersonnj.gov,NJ,Passaic,Paterson 
City,pawtucketri.gov,RI,Providence,Pawtucket 
City,peachtreecornersga.gov,GA,Gwinnett,Peachtree Corners
City,peoriaaz.gov,AZ,Maricopa,Peoria 
City,pharr-tx.gov,TX,Hidalgo,Pharr
City,phila.gov,PA,Philadelphia,Philadelphia
City,phoenix.gov,AZ,Maricopa,Phoenix
City,plymouth-ma.gov,MA,Plymouth,Plymouth
City,pollinglocations.hartford.gov,CT,Hartford,Hartford 
City,portagemi.gov,MI,Kalamazoo,Portage
City,portal.311.nyc.gov,NY,New York,New York
City,portland.gov,OR,Multnomah,Portland 
City,portsmouthri.gov,RI,Newport,Portsmouth
City,providenceri.gov,RI,Providence,Providence 
City,quincyma.gov,MA,Norfolk,Quincy
City,readingma.gov,MA,Middlesex,Reading
City,reno.gov,NV,Washoe,Reno
City,revere.org,MA,Suffolk,Revere
City,riversideca.gov,CA,Riverside,Riverside
City,rockvillemd.gov,MD,Montgomery,Rockville
City,rollingwoodtx.gov,TX,Travis,Rollingwood 
City,romi.gov,MI,Oakland,Royal Oak
City,roslynny.gov,NY,Nassau,Roslyn 
City,roswell-nm.gov,NJ,Union,Roswell
City,rrnm.gov,NM,Sandoval,Rio Rancho
City,sa.gov,TX,Bexar,San Antonio 
City,salemct.gov,MA,Essex,Salem 
City,salemma.gov,MA,Essex,Salem 
City,sanantonio.gov,TX,Bexar,San Antonio 
City,sandiego.gov,CA,San Diego,San Diego
City,sanjoseca.gov,CA,Santa Clara,San Jose
City,sanluisaz.gov,AZ,Yuma,San Luis
City,santamonica.gov,CA,Los Angeles,Santa Monica
City,seattle.gov,WA,King,Seattle 
City,services.austintexas.gov,TX,Travis,Austin 
City,slc.gov,UT,Salt Lake,Salt Lake City
City,smithfieldri.gov,RI,Providence,Smithfield
City,somervillema.gov,MA,Middlesex,Sommerville
City,southkingstownri.gov,RI,Washington,South Kingston
City,southmilwaukee.gov,WI,Milwaukee,South Milwaukee
City,springfield-ma.gov,MA,Hampden,Springfield 
City,sslc.gov,UT,Salt Lake,South Salt Lake 
City,stamfordct.gov,CT,Fairfield,Stamford
City,stephenvilletx.gov,TX,Erath,Stephenville 
City,sterlingheights.gov,MI,Macomb,Sterling Heights
City,stocktonca.gov,CA,San Joaquin,Stockton
City,sunnyside-wa.gov,WA,Yakima,Sunnywide 
City,tampa.gov,FL,Hillsborough,Tampa
City,taosnm.gov,NM,Taos,Taos
City,tewksbury-ma.gov,MA,Middlesex,Tewksbury
City,townofvictorny.gov,NY,Ontario,Victor
City,townofwalworthwi.gov,WI,Walworth,Walworth 
City,trumbull-ct.gov,CT,Fairfield,Trumbull
City,tucsonaz.gov,AZ,Pima,Tuscon
City,vernon-ct.gov,CT,Tolland,Vernon
City,veronawi.gov,WI,Dane,Verona 
City,victorvilleca.gov,CA,San Bernadino,Victorville
City,vote.minneapolismn.gov,MN,Hennepin,Minneapolis
City,vote.phila.gov,PA,Philadelphia,Philadelphia
City,voter.virginiabeach.gov,VA,Princess Anne,Virginia Beach
City,wallingfordct.gov,CT,New Haven,Wallingford
City,walnutcreekca.gov,CA,Contra Costa,Walnut Creek
City,warwickri.gov,RI,Kent,Warwick
City,waterburyct.org,CT,New Haven,Waterbury
City,waterfordmi.gov,MI,Oakland,Waterford
City,watertown-ma.gov,MA,Middlesex,Watertown
City,waukesha-wi.gov,WI,Waukesha,Waukesha
City,wausauwi.gov,WI,Marathon,Wausau
City,weatherfordtx.gov,TX,Parker,Weatherford 
City,web6.seattle.gov,WA,King,Seattle 
City,wellesleyma.gov,MA,Norfolk,Wellesley
City,westalliswi.gov,WI,Milwaukee,West Allis
City,westhartfordct.gov,CT,Hartford,West Hartford
City,westonwi.gov,WI,Marathon,Weston
City,westportct.gov,CT,Fairfield,Westport
City,whitewater-wi.gov,WI,Walworth,Whitewater 
City,wilbraham-ma.gov,MA,Hampden,Wilbraham
City,windhamct.gov,CT,Windham,Windham 
City,woonsocketri.gov,RI,Providence,Woonsocket
City,worcesterma.gov,MA,Worcester,Worcestor
City,wvc-ut.gov,UT,Salt Lake,West Valley 
City,www2.elpasotexas.gov,TX,El Paso,El Paso
City,www3.springfield-ma.gov,MA,Hampden,Springfield
City,www8.honolulu.gov,HI,Honolulu,Honolulu
City,yorbalindaca.gov,CA,Orange,Yorba Linda
City,yumaaz.gov,AZ,Yuma,Yuma
City,a2gov.org,MI,Washtenaw,Ann Arbor
City,altamonte.org,FL,Seminole,Altamonte Springs
City,anaheim.net,CA,Orange,Anaheim
City,ashlandmass.com,MA,Middlesex,Ashland
City,aurora-il.org,IL,Kane,Aurora
City,bakersfieldcity.us,CA,Kern,Bakersfield
City,bayonnenj.org,NJ,Hudson,Bayonne
City,burrillville.org,RI,Providence,Burrillville
City,cctexas.com,TX,Nueces,Corpus Christi
City,chico.ca.us,CA,Butte,Chico
City,citynmb.com,FL,Miami-Dade,North Miami Beach
City,cityofalhambra.org,CA,Los Angeles,Alhambra
City,cityofandrews.org,TX,Andrews,Andrews
City,cityofattleboro.us,MA,Bristol,Attleboro
City,cityofclovis.org,NM,Curry,Clovis
City,cityofdelrio.com,TX,Val Verde,Del Rio
City,cityofdenton.com,TX,Denton,Denton
City,cityofelcentro.org,CA,Imperial,El Centro
City,cityofevanston.org,IL,Cook,Evanston
City,cityoffernley.org,NV,Lyon,Fernley
City,cityofirvine.org,CA,Orange,Irvine
City,cityoflakeforest.com,IL,Lake,Lake Forest
City,cityoflaredo.com,TX,Webb,Laredo
City,cityoflaurel.org,MD,Prince George's,Laurel
City,cityoflilburn.com,GA,Gwinnett,Lilburn
City,cityofmadison.com,WI,Dane,Madison
City,cityofmenifee.us,CA,Riverside,Menifee
City,cityofmerced.org,CA,Merced,Merced
City,cityofmesquite.com,TX,Dallas,Mesquite
City,cityofnapa.org,CA,Napa,Napa
City,cityoforange.org,CA,Orange,Orange
City,cityofpassaic.com,NJ,Passaic,Passaic
City,cityofportaransas.org,TX,Nueces,Port Aransas
City,cityofrichmond.net,MI,Macomb,Richmond
City,cityofsanmateo.org,CA,San Mateo,San Mateo
City,cityofsummit.org,NJ,Union,Summit
City,cityofsunprairie.com,WI,Dane,Sun Prairie
City,cityofturlock.org,CA,Stanislaus,Turlock
City,cityofwestfield.org,MA,Hampden,Westfield
City,cityofwesthaven.com,CT,New Haven,West Haven
City,cityofwestlake.org,OH,Cuyahoga,Westlake
City,cityofwinterpark.org,FL,Orange,Winter Park
City,cumberlandri.org,RI,Providence,Cumberland
City,eastgreenwichri.com,RI,Kent,Greenwich
City,edgewaterpark-nj.com,NJ,Burlington,Edgewater Park
City,elizabethnj.org,NJ,Union,Elizabeth
City,elmhurst.org,IL,Will,Elmhurst
City,fairfieldct.org,CT,Fairfield,Fairfield
City,forsythco.com,GA,Forsyth,Forsyth
City,fortleenj.org,NJ,Bergen,Fort Lee
City,glendaleaz.com,AZ,Maricopa,Glendale
City,guttenbergnj.org,NJ,Hudson,Guttenberg
City,guymonok.org,OK,Texas,Guymon
City,hamden.com,CT,New Haven,Hamden
City,henrietta.org,NY,Monroe,Henrietta
City,lakelandgov.net,FL,Polk,Lakeland
City,lakevillema.org,MA,Plymouth,Lakeville
City,lauderdalelakes.org,FL,Broward,Lauderdale Lakes
City,lawrencevillega.org,GA,Gwinnett,Lawrenceville
City,legacy.cityofirvine.org,CA,Orange,Irvine
City,library.cityoflewisville.com,TX,Denton,Lewisville
City,lincolntown.org,MA,Middlesex,Lincoln
City,littlechutewi.org,WI,Outagamie,Little Chute
City,madisonct.org,CT,New Haven,Madison
City,menomonee-falls.org,WI,Waukesha,Menomonee Falls
City,montclairnjusa.org,NJ,Essex,Montclair
City,mountephraim-nj.com,NJ,Camden,Mount Ephraim
